SC_Alien.ElapsedSecs      SC_Alien.EarthMJ2000Eq.X   SC_Alien.EarthMJ2000Eq.Y   SC_Alien.EarthMJ2000Eq.Z   SC_Alien.EarthMJ2000Eq.VX   SC_Alien.EarthMJ2000Eq.VY   SC_Alien.EarthMJ2000Eq.VZ   SC_Human.ElapsedSecs      SC_Human.EarthMJ2000Eq.X   SC_Human.EarthMJ2000Eq.Y   SC_Human.EarthMJ2000Eq.Z   SC_Human.EarthMJ2000Eq.VX   SC_Human.EarthMJ2000Eq.VY   SC_Human.EarthMJ2000Eq.VZ   
0                         2109.643475932163          4561.476753800125          -5015.210287614834         6.376356443204203           1.178603335177103           3.754181660633769           0                         -3424.6717819111           -5874.610572931138         23.95417682863771          5.05818796232178            -2.968795608239573          -4.921249755866343          
0.9999999194405973        2116.018656451815          4562.652816890553          -5011.453313966748         6.374003412774965           1.173522627385628           3.759764938193384           0.9999999194405973        -3419.315794898092         -5878.805429920189         18.23027046129113          5.358154869629928           -4.191132639817387          -5.723919128469343          
2.000000153202564         2122.391480391501          4563.823798619251          -5007.690759134182         6.371643283708528           1.168440612658647           3.765344028556111           2.000000153202564         -3413.95547501713          -5882.992837441193         12.50634099253571          5.36248346926723            -4.183682019199933          -5.723938599106407          
3.000000072643161         2128.761940653896          4564.989697682113          -5003.922627307442         6.369276058633334           1.163357296655927           3.770918925508597           3.000000072643161         -3408.590830806368         -5887.172793196198         6.782395681978805          5.366803528475794           -4.17622911141101           -5.723950813043073          
3.999999992083758         2135.13003014431           4566.150512780693          -5000.14892268304          6.366901740185727           1.158272685038686           3.776489622842158           3.999999992083758         -3403.221870808492         -5891.34529490881          1.058441783403139          5.371115042746641           -4.168773938004952          -5.723955776120071          
4.999999911524355         2141.495741770691          4567.306242622207          -4996.369649463699         6.364520331009954           1.153186783469582           3.782056114352787           4.999999911524355         -3397.848603570673         -5895.510340324183         -4.665513455265345         5.37541800762232            -4.161316520522236          -5.723953494210163          
6.000000145286322         2147.859068443638          4568.456885919537          -4992.584811858344         6.362131833758154           1.148099597612714           3.787618393841163           6.000000145286322         -3392.471037644515         -5899.667927209004         -10.38946279198943         5.379712418696871           -4.153856880489303          -5.723943973218039          
7.000000064726919         2154.220003076402          4569.602441391225          -4988.79441408209          6.359736251090363           1.143011133133607           3.793176455112652           7.000000064726919         -3387.089181586            -5903.818053351481         -16.1133989906525          5.383998271615785           -4.146395039418371          -5.723927219080204          
7.999999984167516         2160.578538584903          4570.742907761483          -4984.998460356253         6.357333585674509           1.137921395699212           3.798730291977321           7.999999984167516         -3381.703043955437         -5907.960716561326         -21.83731482109032         5.388275562075963           -4.138931018807253          -5.723903237764881          
8.999999903608114         2166.934667887728          4571.878283760192          -4981.196954908333         6.354923840186407           1.132830390977897           3.804279898249941           8.999999903608114         -3376.312633317418         -5912.095914669742         -27.56120305912269         5.392544285825671           -4.131464840139179          -5.72387203527189           
